r,m,p_A,p_B,m_A,m_B
12.99000099999824,0.18539847007589313,7.20019385397082e-13,0.0,0.1784719459495043,0.006926524126388807
12.99100099999824,0.1853984729188343,7.177477016159391e-13,0.0,0.17847194879244546,0.006926524126388807
12.99200099999824,0.18539847575602142,7.154813224296291e-13,0.0,0.17847195162963259,0.006926524126388807
12.99300099999824,0.1853984785874671,7.132202346479357e-13,0.0,0.17847195446107827,0.006926524126388807
12.994000999998239,0.18539848141313306,7.109644656808576e-13,0.0,0.17847195728674423,0.006926524126388807
12.995000999998238,0.18539848423232513,7.087145660468659e-13,0.0,0.1784719601059363,0.006926524126388807
12.996000999998238,0.18539848704480957,7.064707186416834e-13,0.0,0.17847196291842074,0.006926524126388807
12.997000999998237,0.18539848985060345,7.042329062646429e-13,0.0,0.17847196572421462,0.006926524126388807
12.998000999998236,0.18539849264972375,7.020011117665102e-13,0.0,0.1784719685233349,0.006926524126388807
12.999000999998236,0.18539849544218742,6.997753180493232e-13,0.0,0.1784719713157986,0.006926524126388807
13.000000999998235,0.1853984982280114,6.975555080662308e-13,0.0,0.17847197410162258,0.006926524126388807
13.001000999998235,0.18539850100721256,6.953416648213329e-13,0.0,0.17847197688082372,0.006926524126388807
13.002000999998234,0.18539850377980766,6.93133771369521e-13,0.0,0.17847197965341882,0.006926524126388807
13.003000999998234,0.18539850654581352,6.909318108163184e-13,0.0,0.1784719824194247,0.006926524126388807
13.004000999998233,0.18539850930524687,6.887357663177221e-13,0.0,0.17847198517885804,0.006926524126388807
13.005000999998233,0.18539851205812438,6.865456210800446e-13,0.0,0.17847198793173555,0.006926524126388807
13.006000999998232,0.18539851480446268,6.843613583597564e-13,0.0,0.17847199067807384,0.006926524126388807
13.007000999998231,0.18539851754427836,6.821829614633285e-13,0.0,0.17847199341788952,0.006926524126388807
13.008000999998231,0.185398520277588,6.800104137470765e-13,0.0,0.17847199615119916,0.006926524126388807
13.00900099999823,0.18539852300440807,6.778436986170042e-13,0.0,0.17847199887801923,0.006926524126388807
13.01000099999823,0.18539852572475504,6.756827995286478e-13,0.0,0.1784720015983662,0.006926524126388807
13.01100099999823,0.18539852843864535,6.735276999869216e-13,0.0,0.17847200431225652,0.006926524126388807
13.012000999998229,0.18539853114609534,6.713783835459628e-13,0.0,0.1784720070197065,0.006926524126388807
13.013000999998228,0.18539853384712135,6.692348338089779e-13,0.0,0.17847200972073252,0.006926524126388807
13.014000999998228,0.18539853654173966,6.67097034428089e-13,0.0,0.17847201241535082,0.006926524126388807
13.015000999998227,0.18539853922996652,6.649649691041808e-13,0.0,0.17847201510357769,0.006926524126388807
13.016000999998226,0.18539854191181812,6.628386215867484e-13,0.0,0.1784720177854293,0.006926524126388807
13.017000999998226,0.18539854458731062,6.607179756737448e-13,0.0,0.17847202046092178,0.006926524126388807
13.018000999998225,0.1853985472564601,6.586030152114299e-13,0.0,0.17847202313007127,0.006926524126388807
13.019000999998225,0.18539854991928265,6.564937240942189e-13,0.0,0.1784720257928938,0.006926524126388807
13.020000999998224,0.18539855257579427,6.543900862645326e-13,0.0,0.17847202844940543,0.006926524126388807
13.021000999998224,0.18539855522601095,6.522920857126465e-13,0.0,0.17847203109962212,0.006926524126388807
13.022000999998223,0.18539855786994863,6.501997064765419e-13,0.0,0.1784720337435598,0.006926524126388807
13.023000999998223,0.1853985605076232,6.481129326417566e-13,0.0,0.17847203638123438,0.006926524126388807
13.024000999998222,0.18539856313905054,6.460317483412362e-13,0.0,0.1784720390126617,0.006926524126388807
13.025000999998221,0.1853985657642464,6.439561377551865e-13,0.0,0.17847204163785757,0.006926524126388807
13.026000999998221,0.1853985683832266,6.418860851109254e-13,0.0,0.17847204425683777,0.006926524126388807
13.02700099999822,0.18539857099600685,6.398215746827357e-13,0.0,0.178472046869618,0.006926524126388807
13.02800099999822,0.1853985736026028,6.377625907917195e-13,0.0,0.17847204947621398,0.006926524126388807
13.02900099999822,0.18539857620303013,6.357091178056506e-13,0.0,0.1784720520766413,0.006926524126388807
13.030000999998219,0.1853985787973044,6.336611401388299e-13,0.0,0.17847205467091556,0.006926524126388807
13.031000999998218,0.18539858138544119,6.316186422519399e-13,0.0,0.17847205725905235,0.006926524126388807
13.032000999998218,0.18539858396745598,6.295816086518996e-13,0.0,0.17847205984106715,0.006926524126388807
13.033000999998217,0.18539858654336427,6.275500238917209e-13,0.0,0.17847206241697544,0.006926524126388807
13.034000999998216,0.1853985891131815,6.255238725703642e-13,0.0,0.17847206498679266,0.006926524126388807
13.035000999998216,0.18539859167692305,6.235031393325955e-13,0.0,0.1784720675505342,0.006926524126388807
13.036000999998215,0.18539859423460425,6.214878088688436e-13,0.0,0.17847207010821542,0.006926524126388807
13.037000999998215,0.18539859678624043,6.194778659150571e-13,0.0,0.1784720726598516,0.006926524126388807
13.038000999998214,0.18539859933184685,6.174732952525635e-13,0.0,0.17847207520545802,0.006926524126388807
13.039000999998214,0.18539860187143872,6.154740817079266e-13,0.0,0.1784720777450499,0.006926524126388807
13.040000999998213,0.18539860440503123,6.134802101528065e-13,0.0,0.1784720802786424,0.006926524126388807
13.041000999998213,0.18539860693263951,6.114916655038184e-13,0.0,0.17847208280625068,0.006926524126388807
13.042000999998212,0.1853986094542787,6.09508432722393e-13,0.0,0.17847208532788986,0.006926524126388807
13.043000999998211,0.18539861196996382,6.075304968146363e-13,0.0,0.178472087843575,0.006926524126388807
13.044000999998211,0.18539861447970993,6.055578428311912e-13,0.0,0.1784720903533211,0.006926524126388807
13.04500099999821,0.18539861698353197,6.035904558670981e-13,0.0,0.17847209285714313,0.006926524126388807
13.04600099999821,0.1853986194814449,6.01628321061657e-13,0.0,0.17847209535505607,0.006926524126388807
13.04700099999821,0.18539862197346363,5.996714235982896e-13,0.0,0.1784720978470748,0.006926524126388807
13.048000999998209,0.185398624459603,5.977197487044019e-13,0.0,0.17847210033321417,0.006926524126388807
13.049000999998208,0.18539862693987788,5.957732816512474e-13,0.0,0.17847210281348905,0.006926524126388807
13.050000999998208,0.185398629414303,5.938320077537906e-13,0.0,0.17847210528791416,0.006926524126388807
13.051000999998207,0.1853986318828931,5.918959123705708e-13,0.0,0.17847210775650427,0.006926524126388807
13.052000999998207,0.18539863434566292,5.899649809035667e-13,0.0,0.1784721102192741,0.006926524126388807
13.053000999998206,0.1853986368026271,5.880391987980614e-13,0.0,0.17847211267623828,0.006926524126388807
13.054000999998205,0.1853986392538003,5.861185515425072e-13,0.0,0.17847211512741146,0.006926524126388807
13.055000999998205,0.18539864169919704,5.842030246683919e-13,0.0,0.1784721175728082,0.006926524126388807
13.056000999998204,0.1853986441388319,5.822926037501046e-13,0.0,0.17847212001244306,0.006926524126388807
13.057000999998204,0.18539864657271937,5.803872744048025e-13,0.0,0.17847212244633054,0.006926524126388807
13.058000999998203,0.18539864900087397,5.784870222922779e-13,0.0,0.17847212487448513,0.006926524126388807
13.059000999998203,0.18539865142331008,5.765918331148255e-13,0.0,0.17847212729692125,0.006926524126388807
13.060000999998202,0.18539865384004212,5.747016926171106e-13,0.0,0.17847212971365328,0.006926524126388807
13.061000999998202,0.18539865625108443,5.72816586586037e-13,0.0,0.1784721321246956,0.006926524126388807
13.062000999998201,0.1853986586564513,5.709365008506166e-13,0.0,0.17847213453006247,0.006926524126388807
13.0630009999982,0.18539866105615704,5.690614212818375e-13,0.0,0.1784721369297682,0.006926524126388807
13.0640009999982,0.18539866345021588,5.671913337925344e-13,0.0,0.17847213932382705,0.006926524126388807
13.0650009999982,0.185398665838642,5.653262243372583e-13,0.0,0.17847214171225317,0.006926524126388807
13.066000999998199,0.1853986682214496,5.634660789121472e-13,0.0,0.17847214409506076,0.006926524126388807
13.067000999998198,0.18539867059865278,5.616108835547966e-13,0.0,0.17847214647226395,0.006926524126388807
13.068000999998198,0.18539867297026563,5.597606243441311e-13,0.0,0.1784721488438768,0.006926524126388807
13.069000999998197,0.1853986753363022,5.579152874002761e-13,0.0,0.17847215120991336,0.006926524126388807
13.070000999998197,0.18539867769677648,5.560748588844296e-13,0.0,0.17847215357038765,0.006926524126388807
13.071000999998196,0.18539868005170249,5.542393249987355e-13,0.0,0.17847215592531365,0.006926524126388807
13.072000999998195,0.1853986824010941,5.524086719861556e-13,0.0,0.17847215827470528,0.006926524126388807
13.073000999998195,0.1853986847449653,5.505828861303437e-13,0.0,0.17847216061857646,0.006926524126388807
13.074000999998194,0.18539868708332988,5.48761953755519e-13,0.0,0.17847216295694104,0.006926524126388807
13.075000999998194,0.1853986894162017,5.469458612263406e-13,0.0,0.17847216528981286,0.006926524126388807
13.076000999998193,0.1853986917435945,5.451345949477816e-13,0.0,0.17847216761720566,0.006926524126388807
13.077000999998193,0.1853986940655221,5.433281413650047e-13,0.0,0.17847216993913326,0.006926524126388807
13.078000999998192,0.18539869638199816,5.415264869632373e-13,0.0,0.17847217225560932,0.006926524126388807
13.079000999998192,0.18539869869303638,5.397296182676472e-13,0.0,0.17847217456664755,0.006926524126388807
13.080000999998191,0.1853987009986504,5.37937521843219e-13,0.0,0.17847217687226158,0.006926524126388807
13.08100099999819,0.18539870329885386,5.361501842946308e-13,0.0,0.17847217917246502,0.006926524126388807
13.08200099999819,0.18539870559366028,5.343675922661311e-13,0.0,0.17847218146727145,0.006926524126388807
13.08300099999819,0.1853987078830832,5.32589732441416e-13,0.0,0.17847218375669438,0.006926524126388807
13.084000999998189,0.18539871016713616,5.308165915435076e-13,0.0,0.17847218604074733,0.006926524126388807
13.085000999998188,0.1853987124458326,5.290481563346316e-13,0.0,0.17847218831944375,0.006926524126388807
13.086000999998188,0.1853987147191859,5.272844136160961e-13,0.0,0.17847219059279706,0.006926524126388807
13.087000999998187,0.1853987169872095,5.255253502281709e-13,0.0,0.17847219286082067,0.006926524126388807
13.088000999998187,0.18539871924991674,5.237709530499663e-13,0.0,0.1784721951235279,0.006926524126388807
13.089000999998186,0.18539872150732095,5.220212089993135e-13,0.0,0.17847219738093212,0.006926524126388807
13.090000999998185,0.1853987237594354,5.202761050326443e-13,0.0,0.17847219963304656,0.006926524126388807
13.091000999998185,0.18539872600627333,5.185356281448721e-13,0.0,0.1784722018798845,0.006926524126388807
13.092000999998184,0.18539872824784798,5.167997653692721e-13,0.0,0.17847220412145914,0.006926524126388807
13.093000999998184,0.18539873048417252,5.150685037773636e-13,0.0,0.17847220635778369,0.006926524126388807
13.094000999998183,0.18539873271526008,5.13341830478791e-13,0.0,0.17847220858887125,0.006926524126388807
13.095000999998183,0.18539873494112377,5.11619732621206e-13,0.0,0.17847221081473494,0.006926524126388807
13.096000999998182,0.18539873716177666,5.099021973901504e-13,0.0,0.17847221303538782,0.006926524126388807
13.097000999998182,0.1853987393772318,5.081892120089386e-13,0.0,0.17847221525084297,0.006926524126388807
13.098000999998181,0.1853987415875022,5.06480763738541e-13,0.0,0.17847221746111336,0.006926524126388807
13.09900099999818,0.1853987437926008,5.047768398774677e-13,0.0,0.17847221966621196,0.006926524126388807
13.10000099999818,0.18539874599254055,5.030774277616523e-13,0.0,0.17847222186615172,0.006926524126388807
13.10100099999818,0.18539874818733437,5.013825147643362e-13,0.0,0.17847222406094554,0.006926524126388807
13.102000999998179,0.1853987503769951,4.996920882959537e-13,0.0,0.17847222625060627,0.006926524126388807
13.103000999998178,0.18539875256153557,4.980061358040167e-13,0.0,0.17847222843514673,0.006926524126388807
13.104000999998178,0.1853987547409686,4.963246447730005e-13,0.0,0.17847223061457976,0.006926524126388807
13.105000999998177,0.1853987569153069,4.946476027242293e-13,0.0,0.17847223278891808,0.006926524126388807
13.106000999998177,0.18539875908456327,4.929749972157628e-13,0.0,0.17847223495817444,0.006926524126388807
13.107000999998176,0.18539876124875038,4.913068158422826e-13,0.0,0.17847223712236154,0.006926524126388807
13.108000999998175,0.1853987634078809,4.89643046234979e-13,0.0,0.17847223928149206,0.006926524126388807
13.109000999998175,0.1853987655619674,4.879836760614385e-13,0.0,0.17847224143557858,0.006926524126388807
13.110000999998174,0.18539876771102257,4.863286930255318e-13,0.0,0.17847224358463373,0.006926524126388807
13.111000999998174,0.1853987698550589,4.84678084867301e-13,0.0,0.17847224572867007,0.006926524126388807
13.112000999998173,0.18539877199408894,4.830318393628489e-13,0.0,0.1784722478677001,0.006926524126388807
13.113000999998173,0.1853987741281252,4.81389944324227e-13,0.0,0.17847225000173636,0.006926524126388807
13.114000999998172,0.18539877625718013,4.797523875993253e-13,0.0,0.1784722521307913,0.006926524126388807
13.115000999998172,0.18539877838126614,4.781191570717612e-13,0.0,0.1784722542548773,0.006926524126388807
13.116000999998171,0.18539878050039565,4.764902406607699e-13,0.0,0.17847225637400682,0.006926524126388807
13.11700099999817,0.18539878261458104,4.748656263210938e-13,0.0,0.1784722584881922,0.006926524126388807
13.11800099999817,0.18539878472383461,4.732453020428741e-13,0.0,0.17847226059744578,0.006926524126388807
13.11900099999817,0.18539878682816865,4.716292558515407e-13,0.0,0.17847226270177982,0.006926524126388807
13.120000999998169,0.18539878892759545,4.700174758077041e-13,0.0,0.17847226480120662,0.006926524126388807
13.121000999998168,0.18539879102212725,4.684099500070467e-13,0.0,0.17847226689573842,0.006926524126388807
13.122000999998168,0.18539879311177623,4.668066665802147e-13,0.0,0.1784722689853874,0.006926524126388807
13.123000999998167,0.18539879519655456,4.652076136927108e-13,0.0,0.17847227107016572,0.006926524126388807
13.124000999998167,0.18539879727647438,4.636127795447863e-13,0.0,0.17847227315008554,0.006926524126388807
13.125000999998166,0.1853987993515478,4.620221523713347e-13,0.0,0.17847227522515896,0.006926524126388807
13.126000999998165,0.18539880142178689,4.604357204417842e-13,0.0,0.17847227729539805,0.006926524126388807
13.127000999998165,0.18539880348720367,4.588534720599923e-13,0.0,0.17847227936081483,0.006926524126388807
13.128000999998164,0.18539880554781016,4.572753955641391e-13,0.0,0.17847228142142132,0.006926524126388807
13.129000999998164,0.18539880760361835,4.55701479326622e-13,0.0,0.17847228347722952,0.006926524126388807
13.130000999998163,0.18539880965464017,4.5413171175395057e-13,0.0,0.17847228552825134,0.006926524126388807
13.131000999998163,0.18539881170088754,4.5256608128664103e-13,0.0,0.1784722875744987,0.006926524126388807
13.132000999998162,0.18539881374237235,4.510045763991122e-13,0.0,0.17847228961598352,0.006926524126388807
13.133000999998162,0.18539881577910644,4.494471855995809e-13,0.0,0.1784722916527176,0.006926524126388807
13.134000999998161,0.18539881781110162,4.47893897429958e-13,0.0,0.1784722936847128,0.006926524126388807
13.13500099999816,0.1853988198383697,4.463447004657451e-13,0.0,0.17847229571198087,0.006926524126388807
13.13600099999816,0.1853988218609224,4.4479958331593073e-13,0.0,0.17847229773453357,0.006926524126388807
13.13700099999816,0.1853988238787715,4.4325853462288795e-13,0.0,0.17847229975238266,0.006926524126388807
13.138000999998159,0.18539882589192863,4.417215430622713e-13,0.0,0.1784723017655398,0.006926524126388807
13.139000999998158,0.1853988279004055,4.401885973429148e-13,0.0,0.17847230377401666,0.006926524126388807
13.140000999998158,0.18539882990421372,4.386596862067297e-13,0.0,0.17847230577782489,0.006926524126388807
13.141000999998157,0.1853988319033649,4.371347984286033e-13,0.0,0.17847230777697606,0.006926524126388807
13.142000999998157,0.18539883389787062,4.3561392281629705e-13,0.0,0.1784723097714818,0.006926524126388807
13.143000999998156,0.18539883588774242,4.340970482103461e-13,0.0,0.17847231176135359,0.006926524126388807
13.144000999998156,0.1853988378729918,4.325841634839583e-13,0.0,0.17847231374660297,0.006926524126388807
13.145000999998155,0.18539883985363023,4.3107525754291405e-13,0.0,0.1784723157272414,0.006926524126388807
